Subject,Age,Sex,Ethnicity,Finished_O,OPT,Finish_M,MPT,GM,GNT,SBSOD,SA,ET,GPS
1,19,male,7,12,22.67,11,15.08727273,4.375,3.916666667,5.666666667,2.5,4.25,4.4
2,18,female,6,12,27.92,12,34.67,4.375,2.833333333,2.6,3.375,1.75,4.6
3,18,female,4,12,61.92,12,63.08,1,3.166666667,2,4.625,1.25,5
4,21,female,6,10,40.404,12,68.42,5,4.666666667,4.533333333,2.125,4.75,4.6
5,20,female,4,12,21,12,18.08,2.25,2.583333333,3.933333333,3.25,4.5,4.6
6,18,male,6,12,21.08,12,22,3.625,3.583333333,5.266666667,2.5,5.5,4.4
7,18,female,4,12,74,12,81.83,2.75,2.75,4.266666667,2.375,2.25,4.6
8,19,female,1,12,35.17,12,85.42,4.125,3.916666667,3.4,1.625,3.25,4.2
9,19,female,1,12,11.75,12,12.42,1.875,1.75,1.066666667,2.75,3.75,3.8
10,0,female,4,12,19.25,12,17.42,4,3.416666667,3.4,3.375,2.25,4.4
11,21,female,7,12,29.17,12,15,2.875,2.916666667,3.4,2.5,2.5,5
12,18,female,6,12,42.83,12,48.5,4.625,4.166666667,4.466666667,2.625,4.25,3.2
13,19,female,1,12,12.75,12,25.83,1.375,2.333333333,2.066666667,3.125,2.25,4.2
14,22,female,1,12,77.25,12,129.58,5,5,5.733333333,2.125,2.75,3.6
15,18,female,1,12,24.5,12,32.5,4,3,3.066666667,2.5,3,3.8
16,21,female,4,12,19.83,12,13,2.625,3.75,3.333333333,2.125,4.75,4.2
17,18,female,6,12,52.75,12,29,4,3.666666667,3.733333333,1.875,3.75,3
18,20,female,1,12,47.5,12,52.17,3.375,3.583333333,5,2.125,3.75,2.6
19,19,male,4,12,21.42,12,18.92,2.875,2.833333333,3.2,3.25,4.5,3.6
20,19,female,1,12,57.25,12,54.75,2.125,1.75,1.866666667,4.625,2.25,4.8
21,18,male,6,12,88.75,12,96.08,4,3.083333333,1.6,3.25,3,4.6
22,18,female,6,12,42.5,12,39.5,4,4,4,3.875,4.25,4.6
23,20,female,1,12,26.08,12,20,3.875,2.416666667,3.266666667,3.375,3,5
24,18,female,1,12,19.17,12,56.33,3,3.25,3.733333333,1.875,4.5,3.4
25,18,female,4,12,39.33,12,35.75,4,3.5,5,2.75,2.75,4.8
26,18,male,6,12,53.25,12,31,3.75,3.25,2.666666667,3.125,3.5,3.4
27,19,female,1,12,32.92,12,28.33,1.25,1.666666667,2.2,3.625,1.5,4.2
28,19,female,1,12,12,12,27.42,4.5,4.333333333,4.666666667,1.75,2,2.6
29,18,female,2,12,18.33,12,32.83,4,3.333333333,3.8,2.125,4.25,3.6
30,20,female,4,12,40.33,12,63.25,4.75,2.916666667,1.733333333,4.375,3.75,4.8
31,20,male,1,12,6.67,12,14.08,4.625,4.583333333,3.066666667,2.625,1.75,3.4
32,21,male,1,12,12.08,12,25.75,4,3.666666667,4.8,2.125,4.75,2.6
33,21,female,4,12,5.5,12,13.83,2,3.75,4.266666667,2.375,4.5,4.2
34,20,female,4,12,24.5,12,20.75,3.5,1.916666667,1.6,4.75,2,5
35,19,female,1,12,17.5,12,28.58,3.75,4.25,5.466666667,1.75,4,2.4
36,20,female,4,9,29.66666667,11,6.818181818,3.875,3.916666667,5.133333333,2.125,4.25,3.2
37,18,female,4,12,99,12,92.42,3,2,1.933333333,4.625,1.25,4
38,19,female,1,12,20.33,12,17.25,4.5,3.833333333,2.066666667,4,2.75,4.6
39,19,male,1,12,6.92,12,12.75,4.75,4.083333333,5,2.125,3.5,3.8
40,21,female,4,12,27,12,15.75,3.5,3.583333333,4.2,2.625,4.5,3.8
41,18,female,6,12,28.17,12,48.25,5,4.833333333,4.333333333,1.75,4.5,3.8
42,19,female,1,12,43.58,12,44.08,3.375,3.583333333,3.266666667,3,2.75,4.2
43,20,female,4,12,14.33,12,10.92,3.875,3.5,4.266666667,3.625,5,4.4
44,20,female,4,12,10.17,12,25.08,3.875,3.083333333,3.733333333,2.75,2.75,5
46,18,female,4,12,40.58,12,30.58,3.75,3.5,2.6,3.375,2.25,4.2
47,20,female,1,12,84.08,12,78.5,2.25,2.166666667,2.8,3.75,1.5,4
48,18,female,4,12,15.92,12,17,4,3.833333333,1.733333333,4.125,1.5,5
49,19,female,4,12,62.75,12,16.92,2.75,3.166666667,3.066666667,3.125,4,4
50,18,female,4,12,13.33,12,56.83,2.5,2.916666667,4.4,3.125,3.5,3
51,18,male,5,10,34.5,8,57.75,4.5,4.333333333,3.4,2.375,3.75,3.6
52,18,female,4,12,13.58,12,9.92,4.375,3.666666667,4.8,2.25,5,2
53,18,female,2,12,14.75,12,12.08,4,2.166666667,4.333333333,2.625,4,3.4
54,20,male,1,12,18,12,22.75,2.25,2.75,4.666666667,2.625,4.25,3.2
55,18,male,7,12,56.92,12,42.92,4.125,4.583333333,4.4,2.375,3.25,4
56,18,female,4,12,14.17,12,19.33,3.75,2.333333333,3.466666667,2.5,2,4
57,18,female,6,11,35.09454545,12,38.25,2.5,2.333333333,1.933333333,3.5,2.25,4.2
58,18,male,4,12,47.17,12,29.75,3.375,3.75,4.2,2.25,3.75,3.4
59,18,female,4,12,80.75,12,83.83,2.375,1.833333333,2.133333333,3.875,2,3.6
60,18,female,1,12,54.5,12,44.17,3.875,3.583333333,3.6,2.125,1.75,5
61,19,female,2,12,45.42,12,42.75,4.75,4.083333333,4.4,2.25,4.75,3.2
62,19,female,4,12,51.75,12,69.25,3.625,2.75,3.2,2,3.5,3.8
63,19,female,1,12,29.17,12,19.58,2.25,3.333333333,3.066666667,3.125,4.75,4.2
64,27,female,2,12,22.5,12,15.25,3.25,3.5,5.466666667,2.75,4.5,3.8
65,22,male,7,12,34.83,12,23.5,2.625,3.916666667,3.2,1.375,2,3.6
66,21,male,1,12,84.08,12,48.5,3.5,2.166666667,3.266666667,3.625,2,3.8
67,21,female,1,12,14.92,12,15.08,4.625,4.916666667,5,2.375,5.25,4.2
68,22,female,6,12,45.17,12,80.83,4.75,3.75,3.8,3.375,1.75,1.8
