StartDate,SubNum,Gender,Age,GGM,GMN,SBSOD,SA,ET,GPS,OPT
10/9/18 16:01,1,2,19,3.75,3.25,2.933333333,3.769230769,2.75,3.5,22.25
10/9/18 16:00,2,2,20,5,5,3.266666667,2,2.25,3.625,42.83333333
10/9/18 15:59,3,2,20,4.75,3.583333333,4.466666667,2,5.125,3.125,19.16666667
10/9/18 15:59,4,1,20,1.25,2.333333333,5,2.923076923,3.5,4,6.333333333
10/9/18 15:59,5,1,20,4.625,4.75,2.8,3.538461538,3,4.75,10.08333333
10/9/18 15:59,6,2,18,4.125,2,4.266666667,2.307692308,5.375,4.25,12
10/11/18 9:41,13,2,20,3.875,2.416666667,4.6,2.307692308,4.5,3.625,21.58333333
10/11/18 9:40,14,2,18,3.875,2.833333333,4.133333333,2.692307692,3.5,3.25,16.75
10/11/18 9:40,15,2,19,3.75,3.25,3.666666667,4.076923077,2.25,4.75,12.08333333
10/11/18 9:41,16,2,19,4.375,3.25,2.866666667,4.076923077,2,4,19.66666667
10/11/18 10:08,17,2,21,3.625,2.666666667,3.733333333,3.615384615,2.625,4.25,14.41666667
10/11/18 9:41,18,2,18,4.25,3,5.733333333,2.153846154,5.125,3.375,26.08333333
10/11/18 10:54,19,1,21,1.125,2,3.533333333,2.846153846,5.25,3.125,10.25
10/11/18 10:53,20,1,20,4,4.333333333,5.066666667,1.384615385,6.125,2.375,23.5
10/11/18 10:53,21,1,18,3.625,3.333333333,5.333333333,1.461538462,4.875,2,10.75
10/11/18 10:53,22,1,20,4,1.666666667,3.6,1.769230769,5.375,2.375,45.41666667
10/11/18 10:53,23,1,21,2.375,1.916666667,3,3,1.875,3.375,12.25
10/11/18 11:40,24,2,18,2.25,2.166666667,3.6,3.307692308,3,2.875,13.16666667
10/11/18 11:40,25,2,19,3.75,2.916666667,5.4,1.384615385,5.375,2.25,11.75
10/11/18 11:40,26,2,19,2,2.083333333,2.8,3.153846154,3,4.625,8.583333333
10/11/18 11:40,27,2,19,3.75,2.666666667,4.266666667,4.153846154,3.25,4.25,29.41666667
10/11/18 11:40,28,2,18,4.25,3.333333333,4.866666667,2.076923077,3.5,3.5,7.75
10/11/18 11:39,29,2,23,4.375,3.916666667,5,2.769230769,5.375,2.5,7.583333333
10/11/18 12:19,30,1,19,3.75,4,4.866666667,1.384615385,3.25,3,13.08333333
10/15/18 11:30,31,1,18,4.625,4.166666667,4.866666667,1.692307692,5.125,1.75,22.91666667
10/15/18 11:30,32,1,18,4.125,2.5,4.4,2.230769231,5.25,4.25,29.57142857
10/15/18 11:30,33,1,18,4.125,3.916666667,4.666666667,2.153846154,3.625,3.875,5
10/15/18 11:30,34,1,19,4.5,2.916666667,4.533333333,2.461538462,3.75,2.625,18.83333333
10/15/18 11:30,35,1,19,5,4.333333333,2.6,3.384615385,2.875,4,4.833333333
10/15/18 12:12,36,2,19,4.875,4,5.133333333,2.307692308,3.625,3.5,19.58333333
10/15/18 12:11,37,2,19,3.375,1.833333333,3.733333333,2.461538462,3,3.75,23.75
10/15/18 12:12,38,2,19,4.875,2.666666667,1.533333333,3.846153846,2,3,74.5
10/15/18 12:11,39,2,18,3.625,4,3.8,2.307692308,3.625,4.5,21.41666667
10/15/18 12:58,40,1,20,3.75,3.833333333,6,1.461538462,5.75,3.25,16.5
10/15/18 12:58,41,1,18,4,1.583333333,5.066666667,2.384615385,4,2.5,21.83333333
10/15/18 12:58,42,1,18,4.75,5,4.933333333,2.538461538,4,3,6.833333333
10/15/18 12:58,43,1,18,4.25,3.166666667,5.733333333,2.153846154,4.875,2.75,5.083333333
10/15/18 13:38,44,2,18,4.25,3.75,2.933333333,2.692307692,2.5,3.25,48.08333333
10/15/18 13:38,45,2,18,2.375,2.333333333,5.466666667,1.538461538,5.375,2.875,24.08333333
10/15/18 13:38,46,2,17,4,3.916666667,3.6,3,5.25,3.25,46.25
10/15/18 13:38,47,2,19,4,3.666666667,4.733333333,2.076923077,3.25,4.25,13.91666667
10/15/18 13:38,48,2,19,2.875,2.083333333,3.8,2.384615385,4,4,39.16666667
10/15/18 13:38,49,2,21,4.125,3.916666667,4.133333333,2,4.375,3.375,26.91666667
10/16/18 9:30,50,2,18,4.25,3.333333333,5.933333333,2.846153846,4.5,3.875,23.16666667
10/16/18 9:30,51,2,18,4.125,3,3.666666667,2.461538462,4,3.625,15.83333333
10/16/18 9:30,52,2,19,4.75,2.916666667,3.4,3.538461538,2.875,3.875,51.58333333
10/16/18 9:30,53,2,29,4.25,4.25,4.666666667,1.615384615,5.75,3.5,33.75
10/16/18 9:30,54,2,20,4.375,3.166666667,3.133333333,2.384615385,3.75,3.125,30.75
10/16/18 9:30,55,2,19,3.75,3.833333333,3.066666667,3.846153846,2.125,4.5,86.41666667
10/16/18 10:03,56,1,21,3.875,2.75,4.6,1.461538462,5.125,2.875,18.25
10/16/18 10:14,57,1,18,3.875,3.5,3.133333333,1.538461538,5.375,2.25,15.66666667
10/16/18 10:14,58,1,18,3.75,2.75,3.466666667,1.769230769,5.125,3.125,48.5
10/16/18 10:14,59,1,20,2.5,3.666666667,4.8,2.846153846,4.625,4.125,6.333333333
10/16/18 10:14,60,1,21,5,5,4.533333333,2.153846154,5.5,3.5,23.55555556
10/16/18 10:56,61,2,23,3.625,3,3,3.153846154,4,4.625,35.33333333
10/16/18 10:29,62,2,20,2.625,2.166666667,4.133333333,2.230769231,3.625,3.5,24.41666667
10/16/18 10:28,63,2,18,4,4.166666667,3,1.769230769,5.625,3.75,18.25
10/16/18 10:28,64,2,20,3.25,2.75,3.866666667,2.615384615,4.75,3.375,48.91666667
10/16/18 10:56,65,2,19,3.25,2,3.333333333,2.615384615,3.75,3,17.75
10/16/18 10:56,66,2,18,4.875,3.75,4.533333333,1.923076923,3.375,3.5,86.33333333
10/16/18 11:10,67,1,21,4.875,2.833333333,5.6,1.615384615,5.125,3.875,16.33333333
10/16/18 11:10,68,1,21,1.5,1,2.6,2.461538462,4.5,4.625,25.16666667
10/16/18 11:10,69,1,18,2.5,3.25,5.133333333,2.384615385,4.125,2,16.91666667
10/16/18 11:11,70,1,21,3,3.75,5.266666667,1.538461538,4.875,3.125,47.66666667
10/16/18 11:10,71,1,18,2.125,3.833333333,4.4,2.846153846,2.625,4.125,23.08333333
10/16/18 11:12,72,1,20,3.25,1.916666667,4.266666667,1.076923077,3.75,2.5,26.08333333
10/16/18 12:26,73,2,20,4.75,3.916666667,4.066666667,2.923076923,3.125,4.5,19.08333333
10/16/18 12:26,74,2,19,1.875,2,5.133333333,1.538461538,5.125,1.625,29.08333333
10/16/18 12:26,75,2,20,3.5,2,2.333333333,2.692307692,2,4.375,68.91666667
10/16/18 12:26,76,2,20,3.875,2.75,1.866666667,2.923076923,3.25,4.75,42.5
10/16/18 12:26,77,2,19,4,2.833333333,3.666666667,2.538461538,3.875,3.375,29.75
10/16/18 12:26,78,2,18,2.25,3,4,3.076923077,2.625,3.875,35.2
10/17/18 9:31,79,1,19,3,3.666666667,4.333333333,1.692307692,4,3.125,45.33333333
10/17/18 9:31,80,1,17,2.625,3.416666667,4,,4.875,2.25,20.85714286
10/17/18 9:31,81,1,18,4,3.416666667,2.866666667,2.769230769,3.5,4.25,19.66666667
10/17/18 9:30,82,1,19,3.75,3.333333333,1.466666667,1,2.5,4.5,14.83333333
10/17/18 10:16,83,2,19,2,2.416666667,4.6,2,3.625,3.625,32.91666667
10/17/18 10:16,84,2,20,4.5,4.333333333,5.333333333,3.461538462,3.125,2.875,7.583333333
10/17/18 10:16,85,2,18,4,3.666666667,3.6,3.615384615,4,4,37.5
10/17/18 10:18,86,2,19,2.875,3.25,2.933333333,3.615384615,3.25,4.25,59.75
10/17/18 10:16,87,2,18,4.75,3.666666667,5.333333333,3.692307692,3.5,3.375,28.75
10/17/18 10:16,88,2,19,3.75,2.333333333,4.4,1.923076923,4.625,3,13.66666667
10/17/18 10:31,89,1,20,1,2.333333333,4.066666667,1.461538462,4.75,3.75,26.375
10/17/18 10:30,90,1,18,1.625,3.833333333,4.533333333,1.846153846,4.625,2.375,18.63636364
10/17/18 10:30,91,1,18,2,2.666666667,3.333333333,2.692307692,3.125,2.625,14.25
10/17/18 10:30,92,1,20,4.625,2.416666667,2,3.076923077,2,3.875,19.83333333
10/17/18 11:39,93,2,18,4.125,2.75,3.4,3.153846154,3.5,4.125,74.66666667
10/17/18 11:39,94,2,18,1.625,4.25,3,2.769230769,2.5,3.875,25.72727273
10/17/18 11:39,95,2,19,3.125,2.416666667,2.733333333,4,3.625,2.875,59.72727273
